GPU,Precio GPU (€),Precio Sistema Completo (€),TDP (W),kWh/día,kWh/año,Coste electricidad (€/día),Coste electricidad (€/mes),Coste electricidad (€/año),Electricidad 3 años (€),Costo Total 3 años (€),CO2 kg/año,Árboles equiv.,CO2 kg/3 años,Árboles equiv. 3 años
H100 NVL,30000,45000,400,9.600000000000001,3504.0000000000005,2.4000000000000004,72.00000000000001,876.0000000000001,2628.0000000000005,47628.0,1752.0000000000002,194.66666666666669,5256.000000000001,584.0000000000001
RTX 5090,3000,5000,575,13.799999999999999,5037.0,3.4499999999999997,103.49999999999999,1259.25,3777.75,8777.75,2518.5,279.8333333333333,7555.5,839.5
Jetson AGX Orin,1500,2500,50,1.2000000000000002,438.00000000000006,0.30000000000000004,9.000000000000002,109.50000000000001,328.50000000000006,2828.5,219.00000000000003,24.333333333333336,657.0000000000001,73.00000000000001
