GPU,TPS (14B),TPS/W (14B),TCO 3 años (€),CO2 (kg/año),Score Rendimiento,Score Eficiencia,Score Viabilidad,Score Sostenibilidad,Score Privacidad,Puntuación Final,Puntuación (%),Ranking
H100 NVL,77.55892857142858,0.19389732142857144,47628.0,1752.0000000000002,10.0,10.0,0.0,3.3333333333333326,9,5.35,53.49999999999999,2
RTX 5090,35.91428571428571,0.06245962732919254,8777.75,2518.5,4.267630214094339,0.0,8.672027589593634,0.0,9,4.371532940217277,43.71532940217276,3
Jetson AGX Orin,4.910714285714286,0.09821428571428571,2828.5,219.00000000000003,0.0,2.7202743193333405,10.0,10.0,10,7.272027431933334,72.72027431933334,1
