nombre,tipo,dimensiones,tiempo_embedding_avg,similitud_lb_es,similitud_lb_pt,similitud_lb_en,similitud_lb_de,similitud_lb_fr,calidad_busqueda,memoria_estimada_mb,tiempo_carga,descripcion
multilingual-E5-large,sentence-transformers,1024,0.07582783699035645,0.8951143821080526,0.8765063881874084,0.9002622564633688,0.9107774496078491,0.916536271572113,0.8501641750335693,2201.5625,7.464426040649414,Alta calidad multilingüe
LaBSE,sentence-transformers,768,0.03458905220031738,0.8055950601895651,0.8381398518880209,0.832938551902771,0.8761231700579325,0.8376548687616984,0.13238292932510376,1801.171875,5.7458295822143555,Google - 109 idiomas
bge-m3,sentence-transformers,1024,0.06565101941426595,0.7776587804158529,0.740713636080424,0.7877848744392395,0.8062662680943807,0.7868123849232992,0.5969793796539307,2201.5625,7.084287881851196,SOTA multilingüe - 100 idiomas
stella-large,sentence-transformers,1792,0.08356197675069173,0.6791846950848898,0.6977803111076355,0.7051652073860168,0.848120907942454,0.7516405781110128,0.5400606393814087,3502.734375,8.662362813949585,Alta dimensión - Máxima calidad
multilingual-MiniLM-L12-v2,sentence-transformers,384,0.11677122116088867,0.6819777687390646,0.6615602374076843,0.6509529749552408,0.7332538366317749,0.7036513090133667,0.4667057991027832,470.5859375,5.898094654083252,Baseline - Multilingüe optimizado
multilingual-mpnet,sentence-transformers,768,0.03556370735168457,0.6783437331517538,0.7187939683596293,0.6490065256754557,0.7446921467781067,0.679705798625946,0.6666563749313354,1101.171875,4.266676425933838,Alta calidad multilingüe
mxbai-embed-large,ollama,1024,0.6095372835795084,0.6542253891626993,0.6246363520622253,0.6326295137405396,0.8159398436546326,0.6574444969495138,0.703660786151886,718.3625,0.0,MixedBread AI - Alta calidad
distiluse-v1,sentence-transformers,512,0.01880224545796712,0.6241938869158427,0.5995007952054342,0.6013108094533285,0.5999375184377035,0.5687094430128733,0.2635233998298645,500.78125,4.597192049026489,Rápido y eficiente
nomic-embed-text,ollama,768,0.42758409182230633,0.5366391738255819,0.5550663073857626,0.5033817191918691,0.7977367242177328,0.5679244597752889,0.5732755064964294,308.371875,0.0,Nomic AI - Optimizado inglés
